<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.24	10:00:00	6168.512	6171.888	6152.757	6158.384	48845	172275	1
2024.09.24	10:15:00	6158.384	6158.947	6142.067	6146.568	37017	131466	1
2024.09.24	10:30:00	6146.568	6147.131	6135.877	6144.880	45181	180118	1
2024.09.24	10:45:00	6145.443	6151.069	6137.003	6150.507	35865	136298	1
2024.09.24	11:00:00	6150.507	6154.445	6130.813	6135.315	49263	185318	1
2024.09.24	11:15:00	6134.752	6146.005	6134.189	6140.379	29901	110076	1
2024.09.24	11:30:00	6139.816	6152.757	6134.189	6150.507	32766	125005	1
2024.09.24	11:45:00	6151.069	6153.883	6146.568	6152.757	21418	89200	1
2024.09.24	12:00:00	6152.757	6160.072	6140.941	6148.819	35104	132117	1
2024.09.24	12:15:00	6149.381	6152.757	6145.443	6145.443	11645	44637	1
2024.09.24	12:30:00	6145.443	6151.632	6143.192	6150.507	10329	37806	1
2024.09.24	12:45:00	6151.069	6154.445	6148.256	6153.320	10412	45920	1
2024.09.24	13:00:00	6153.320	6155.571	6139.253	6140.941	19737	76542	1
2024.09.24	13:15:00	6140.941	6147.131	6140.941	6146.005	12241	50266	1
2024.09.24	13:30:00	6146.568	6148.819	6144.317	6144.880	6976	26942	1
2024.09.24	13:45:00	6144.317	6145.443	6138.128	6140.379	10702	41527	1
2024.09.24	14:00:00	6140.379	6143.192	6138.691	6139.253	6774	28258	1
2024.09.24	14:15:00	6139.253	6147.693	6137.565	6147.131	11128	43470	1
2024.09.24	14:30:00	6147.131	6152.757	6144.880	6146.568	15306	56340	1
2024.09.24	14:45:00	6146.568	6149.381	6142.629	6146.568	8453	32243	1
2024.09.24	15:00:00	6146.568	6147.131	6139.253	6140.379	8909	30857	1
2024.09.24	15:15:00	6140.379	6146.005	6139.816	6145.443	7135	25265	1
2024.09.24	15:30:00	6145.443	6147.131	6141.504	6144.880	6547	24778	1
2024.09.24	15:45:00	6144.317	6146.005	6137.565	6138.691	15184	57369	1
2024.09.24	16:00:00	6138.691	6144.317	6137.565	6142.629	8199	30704	1
2024.09.24	16:15:00	6142.067	6148.819	6141.504	6146.568	8512	35385	1
2024.09.24	16:30:00	6146.005	6149.944	6146.005	6148.819	5058	18997	1
2024.09.24	16:45:00	6148.819	6149.944	6146.005	6147.131	5783	20018	1
2024.09.24	17:00:00	6146.568	6155.008	6146.568	6151.069	12661	49126	1
2024.09.24	17:15:00	6151.069	6154.445	6147.131	6147.693	6198	22716	1
2024.09.24	17:30:00	6147.131	6149.944	6139.816	6140.379	9013	37905	1
2024.09.24	17:45:00	6140.379	6142.067	6137.003	6140.941	5380	23165	1
2024.09.24	18:00:00	6140.379	6141.504	6135.877	6138.128	3052	7839	1
2024.09.24	18:15:00	6138.128	6142.067	6133.627	6136.440	3131	16423	1
2024.09.25	09:00:00	6139.253	6157.259	6122.936	6140.941	76508	219526	1
2024.09.25	09:15:00	6140.941	6153.320	6134.189	6149.944	54106	172413	1
